,action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,opponent
0,Turnaround Jump Shot,Jump Shot,223,21500962,34.0183,133,26,-118.1368,2,2,0,2015-16,2,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,3/10/2016,CLE
1,Jump Shot,Jump Shot,168,29901144,33.9443,130,100,-118.1398,6,2,0,1999-00,54,16,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/14/2000,SAC
2,Jump Shot,Jump Shot,59,29700370,33.7943,-21,250,-118.2908,4,1,0,1997-98,4,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,12/22/1997,HOU
3,Jump Shot,Jump Shot,362,20000739,33.9743,-141,70,-118.4108,5,3,0,2000-01,9,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2/16/2001,CHA
4,Jump Shot,Jump Shot,279,29901097,33.9293,78,115,-118.1918,7,3,0,1999-00,57,13,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,4/8/2000,SAS
5,Running Jump Shot,Jump Shot,484,29800130,34.0133,55,31,-118.2148,2,4,0,1998-99,51,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2/21/1999,SEA
6,Layup Shot,Layup,96,20300070,34.0443,0,0,-118.2698,1,1,0,2003-04,0,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/7/2003,NOH
7,Running Jump Shot,Jump Shot,42,20100691,34.0463,-105,-2,-118.3748,6,1,0,2001-02,56,10,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2/6/2002,CHI
8,Reverse Slam Dunk Shot,Dunk,479,41000152,34.0273,-26,17,-118.2958,3,4,1,2010-11,39,3,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/20/2011,NOH
9,Jump Shot,Jump Shot,87,20200392,34.0163,197,28,-118.0728,2,1,0,2002-03,46,19,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,12/22/2002,TOR
10,Running Jump Shot,Jump Shot,183,20201159,33.9803,-75,64,-118.3448,3,2,0,2002-03,16,9,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,4/13/2003,POR
11,Follow Up Dunk Shot,Dunk,410,20300400,34.0443,0,0,-118.2698,6,4,0,2003-04,25,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/23/2003,GSW
12,Jump Shot,Jump Shot,262,20600678,33.9493,228,95,-118.0418,7,3,0,2006-07,36,24,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1/31/2007,BOS
13,Jump Shot,Jump Shot,18,40700314,33.9013,-158,143,-118.4278,9,1,1,2007-08,10,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,5/27/2008,SAS
14,Jump Shot,Jump Shot,446,40300405,33.9263,-161,118,-118.4308,4,4,1,2003-04,20,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,6/15/2004,DET
15,Jump Shot,Jump Shot,102,20700951,34.0363,-95,8,-118.3648,0,1,0,2007-08,20,9,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,3/11/2008,TOR
16,Jump Shot,Jump Shot,40,20200053,33.9763,141,68,-118.1288,6,1,0,2002-03,55,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/5/2002,CLE
17,Jump Shot,Jump Shot,473,20400231,33.9863,-166,58,-118.4358,5,4,0,2004-05,0,17,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,12/3/2004,GSW
18,Jump Shot,Jump Shot,427,21300303,33.8113,-133,233,-118.4028,5,4,0,2013-14,53,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,12/8/2013,TOR
19,Jump Shot,Jump Shot,331,21500301,33.9743,230,70,-118.0398,7,3,0,2015-16,36,24,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,12/6/2015,DET
20,Jump Shot,Jump Shot,147,20900458,33.8883,-38,156,-118.3078,10,2,0,2009-10,52,16,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,12/29/2009,GSW
21,Jump Shot,Jump Shot,185,21501065,33.8303,-133,214,-118.4028,6,2,0,2015-16,12,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,3/23/2016,PHX
22,Layup Shot,Layup,179,29800281,34.0443,0,0,-118.2698,6,2,0,1998-99,57,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/12/1999,GSW
23,Jump Shot,Jump Shot,41,21400013,33.8933,-81,151,-118.3508,7,1,0,2014-15,24,17,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,10/29/2014,PHX
24,Jump Shot,Jump Shot,339,20500573,33.9733,144,71,-118.1258,9,4,0,2005-06,5,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/20/2006,PHX
25,Jump Shot,Jump Shot,36,20400819,33.9883,141,56,-118.1288,7,1,0,2004-05,57,15,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2/27/2005,TOR
26,Jump Shot,Jump Shot,277,20700101,33.9173,174,127,-118.0958,5,3,0,2007-08,5,21,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/13/2007,SAS
27,Jump Shot,Jump Shot,38,21400471,33.8553,-161,189,-118.4308,6,1,0,2014-15,1,24,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,12/30/2014,DEN
28,Jump Shot,Jump Shot,478,20200667,33.9733,151,71,-118.1188,1,4,0,2002-03,16,16,0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1/31/2003,SAC
29,Jump Shot,Jump Shot,349,20500720,33.9123,-100,132,-118.3698,6,4,0,2005-06,4,16,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2/8/2006,HOU
30,Layup Shot,Layup,142,20400216,34.0443,0,0,-118.2698,6,2,0,2004-05,39,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,12/1/2004,CHI
31,Jump Shot,Jump Shot,87,20200602,33.8583,-172,186,-118.4418,1,1,0,2002-03,36,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/22/2003,GSW
32,Driving Dunk Shot,Dunk,286,20600029,34.0443,0,0,-118.2698,6,3,0,2006-07,47,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/3/2006,SEA
33,Driving Dunk Shot,Dunk,17,40100404,34.0443,0,0,-118.2698,9,1,1,2001-02,50,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,6/12/2002,NJN
34,Jump Shot,Jump Shot,342,21400180,34.0303,108,14,-118.1618,2,3,0,2014-15,18,10,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/21/2014,DAL
35,Jump Shot,Jump Shot,142,21100313,33.7843,-138,260,-118.4078,0,1,0,2011-12,1,29,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1/31/2012,CHA
36,Driving Layup Shot,Layup,433,29700012,34.0443,0,0,-118.2698,0,3,0,1997-98,59,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,10/31/1997,UTA
37,Alley Oop Dunk Shot,Dunk,360,20100012,34.0443,0,0,-118.2698,0,3,0,2001-02,36,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,10/30/2001,POR
38,Jump Shot,Jump Shot,141,40000049,33.8373,-160,207,-118.4298,11,2,1,2000-01,23,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,5/8/2001,SAC
39,Jump Shot,Jump Shot,173,20500145,33.9703,121,74,-118.1488,7,2,0,2005-06,39,14,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/20/2005,CHI
40,Jump Shot,Jump Shot,500,29800130,33.8583,184,186,-118.0858,1,4,0,1998-99,23,26,1,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2/21/1999,SEA
41,Driving Layup Shot,Layup,305,21200146,34.0213,15,23,-118.2548,6,3,0,2012-13,59,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,11/18/2012,HOU
42,Jump Shot,Jump Shot,35,20501161,34.0223,54,22,-118.2158,7,1,0,2005-06,57,5,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,4/11/2006,GSW
43,Layup Shot,Layup,200,20301121,34.0443,0,0,-118.2698,2,2,0,2003-04,2,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,4/6/2004,POR
44,Jump Shot,Jump Shot,278,40100316,33.8943,108,150,-118.1618,8,3,1,2001-02,59,18,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,5/31/2002,SAC
45,Jump Shot,Jump Shot,429,21000718,33.8693,-169,175,-118.4388,5,4,0,2010-11,56,24,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2/1/2011,HOU
46,Jump Shot,Jump Shot,433,20100204,33.9513,-141,93,-118.4108,4,4,0,2001-02,29,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,11/27/2001,MIL
47,Jump Shot,Jump Shot,148,20200076,33.9243,161,120,-118.1088,5,2,0,2002-03,10,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,11/8/2002,WAS
48,Tip Shot,Tip Shot,387,40500156,34.0443,0,0,-118.2698,6,4,1,2005-06,54,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,5/4/2006,PHX
49,Jump Shot,Jump Shot,309,29901114,33.9123,108,132,-118.1618,6,3,0,1999-00,25,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,4/10/2000,SEA
50,Jump Shot,Jump Shot,283,20500051,34.0223,110,22,-118.1598,10,3,0,2005-06,36,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,11/8/2005,ATL
51,Layup Shot,Layup,336,20500930,34.0443,0,0,-118.2698,2,3,0,2005-06,2,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,3/12/2006,SEA
52,Turnaround Jump Shot,Jump Shot,215,20201028,33.9673,97,77,-118.1728,10,3,0,2002-03,57,12,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,3/26/2003,HOU
53,Jump Shot,Jump Shot,205,21100756,34.0133,-190,31,-118.4598,4,2,0,2011-12,8,19,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,3/29/2012,OKC
